Application,Timestamp,Description,Dimensions,Reference Frame,Proximity,Target Type,Interactor,Indication,Confirmation,Outcome
Arizona Sunshine® 2,https://youtu.be/hYDA2cPmw3I?si=uNcD2cl_m-CIC-01&t=2121,14. Pull a lever to switch the power,3D,Environment,Peripersonal,Discrete configuration,Handheld object,Discrete manipulation,Automatic,System control
The Line,https://youtu.be/rHWLsplpn30?si=kQ4TpFhAfgVRhpYi&t=58,1. Directly grab env objects (hand tracking),3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Hand Tracking - Hold gesture,Acquisition
The Line,https://youtu.be/rHWLsplpn30?si=48WosCEYJqceduOv&t=264,2. Turn a knob into another state,3D,Environment,Peripersonal,Discrete configuration,Handheld object,Discrete manipulation,Automatic,System control
The Line,https://youtu.be/rHWLsplpn30?si=6NGpg0dN8nriIBGd&t=700,3. Touch a 3D object to proceed with a sequence,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Automatic,System control
Elixir,https://youtu.be/wCDbLSBqLTQ?si=9lvY9_-75PIiSx66&t=406,1. Directly touch objects to select them,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Automatic,System control
Elixir,https://youtu.be/wCDbLSBqLTQ?si=tRcqaTz6nD0B5Yo9&t=126,2. Aim with hands and grip both to select a predefined teleport location (hand tracking),3D,Environment,Extrapersonal,3D Object,Ray - Invisible,Aiming - Shooting,Hand Tracking - Click gesture,System control
Elixir,https://youtu.be/rHWLsplpn30?si=6mcgwSsKGwzmfKgU&t=1562,3. Grasp an item with (hand tracking),3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Hand Tracking - Hold gesture,Acquisition
Tiny Castles,https://youtu.be/5Mmv4kL90IE?si=I9gdjw7FaDGgLquY&t=46,1. Touch 2D UI elements to select,2D,Environment,Peripersonal,UI Element,Virtual hand,Intersecting,Automatic,System control
Tiny Castles,https://youtu.be/5Mmv4kL90IE?si=gVvESTBH6-uXLY2K&t=296,2. Directly grab VE objects (hand tracking),3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Hand Tracking - Hold gesture,Acquisition
Tiny Castles,https://youtu.be/5Mmv4kL90IE?si=bajC2obD-_NVR7Ej&t=166,3. Point to a distant object and grab to confirm (hand tracking),3D,Environment,Extrapersonal,3D Object,Ray - Visible,Pointing - Hand ray,Hand Tracking - Hold gesture,Acquisition
Tiny Castles,https://youtu.be/5Mmv4kL90IE?si=ad5AivBRsri9c6Mk&t=243,4. Flip a switch to another position to set a state,3D,Environment,Peripersonal,Discrete configuration,Handheld object,Discrete manipulation,Automatic,System control
Tiny Castles,https://youtu.be/5Mmv4kL90IE?si=J6IL5vK8oAI48P00&t=311,5. Hit enemies with handheld weapon,3D,Environment,Peripersonal,Avatar,Handheld object,Intersecting,Automatic,System control
Tiny Castles,https://youtu.be/5Mmv4kL90IE?si=HmQDiwvpQblSruud&t=488,6. Shoot an object out by releasing it in a direction,3D,Environment,Extrapersonal,3D Object,Ray - Visible,Pointing - Hand ray,Hand Tracking - Release gesture,System control
I Expect You To Die 3: Cog in the Machine,https://youtu.be/dDFpjRITW4c?si=WDiJZQVT5bDz5qx_&t=200,1. Directly grab objects by intersecting hand and holding grip,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
I Expect You To Die 3: Cog in the Machine,https://youtu.be/dDFpjRITW4c?si=qMClbu7d-r2yQ12o&t=235,3. Insert an item into environment slot,3D,Environment,Peripersonal,Storage unit,Handheld object,Intersecting,Analog - Release,System control
I Expect You To Die 3: Cog in the Machine,https://youtu.be/dDFpjRITW4c?si=APoLUe-x2Z8puIV4&t=290,4. Point to a distant item and hold trigger to grab,3D,Environment,Extrapersonal,3D Object,Ray - 2D Cursor,Pointing - Hand ray,Analog - Continued Press,Acquisition
I Expect You To Die 3: Cog in the Machine,https://youtu.be/dKX_HYwfpUs?si=zUwFTHPjWiAzpXkW&t=728,5. Press a virtual 3D button,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Press-in motion,System control
I Expect You To Die 3: Cog in the Machine,https://youtu.be/dDFpjRITW4c?si=fGtoDXHQe0C9IIYK&t=137,6. Point to 2D UI and click to select,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
I Expect You To Die 3: Cog in the Machine,https://youtu.be/dDFpjRITW4c?si=u7Os7rZPjOMe2-rS&t=805,7. Attach items to user's head,3D,Head,On-Body,Storage unit,Handheld object,Intersecting,Analog - Release,System control
I Expect You To Die 3: Cog in the Machine,https://youtu.be/dDFpjRITW4c?si=IGpyeHABrzCy5XFA&t=1213,8. Touch on-hand 2D UI,2D,Hand,On-Body,UI Element,Virtual hand,Intersecting,Automatic,System control
I Expect You To Die 3: Cog in the Machine,https://youtu.be/U3txtUVqiS8?si=yNUkhdUe4yIQu3rU&t=945,9. Discrete manipulation,3D,Environment,Extrapersonal,Discrete configuration,Handheld object,Discrete manipulation,Automatic,System control
I Expect You To Die 3: Cog in the Machine,https://youtu.be/kSzUDJ38JBU?si=_Lu5GVtMeqAUT4nP&t=1675,10. Shoot at enemy robots,3D,Environment,Extrapersonal,Avatar,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Rogue Ascent,https://youtu.be/6g7b-nOc-kw?si=MZTy8QvMwA3KwSKC&t=30,1. Point and pinch to select fron on-hand 2D UI (hand tracking),2D,Hand,On-Body,UI Element,Ray - Visible,Pointing - Hand ray,Hand Tracking - Click gesture,System control
Rogue Ascent,https://youtu.be/6g7b-nOc-kw?si=-6aTXpC5vtphAxa-&t=60,2. Point to a predefined teleport location and gesture to teleport (hand tracking),3D,Environment,Extrapersonal,3D Object,Ray - Invisible,Pointing - Hand ray,Hand Tracking - Click gesture,System control
Rogue Ascent,https://youtu.be/6g7b-nOc-kw?si=4ofGJNjzY-8QzguY&t=67,3. Point and pinch to a 2D UI in environment (hand tracking),2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Hand Tracking - Click gesture,System control
Rogue Ascent,https://youtu.be/qdPmurzpGPA?si=yJ4UpmV1asyoJLB-&t=84,4. Point and dwell on an object,3D,Environment,Extrapersonal,3D Object,Ray - Invisible,Pointing - Hand ray,Dwell,System control
Rogue Ascent,https://youtu.be/qdPmurzpGPA?si=V3Oza9GpnKCIgPaR&t=203,5. Aim and shoot at enemies,3D,Environment,Extrapersonal,Avatar,Ray - Invisible,Aiming - Shooting,Automatic,System control
First Hand,https://youtu.be/P0pv_XRsHRY?si=1jKD7TymqZQh6T8U&t=149,1. Press-in a virtual 3D button,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Press-in motion,System control
First Hand,https://youtu.be/P0pv_XRsHRY?si=dp3AwvdN9ac2QCoI&t=222,2. Directly grab 3d objects (hand tracking),3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Hand Tracking - Hold gesture,Acquisition
First Hand,https://youtu.be/P0pv_XRsHRY?si=VhFS6LCxCcBxhiGP&t=233,3. Touch 2D UI,2D,Environment,Peripersonal,UI Element,Virtual hand,Intersecting,Automatic,System control
First Hand,https://youtu.be/P0pv_XRsHRY?si=PLjDG8ZnEuzRPUXd&t=226,4. Insert item into environment slot (hand tracking),3D,Environment,Peripersonal,Storage unit,Handheld object,Intersecting,Hand Tracking - Release gesture,System control
First Hand,https://youtu.be/P0pv_XRsHRY?si=obhKflk2_8S2BFUp&t=336,5. Grab objects at distance (hand tracking),3D,Environment,Extrapersonal,3D Object,Ray - Visible,Pointing - Hand ray,Hand Tracking - Hold gesture,Acquisition
First Hand,https://youtu.be/P0pv_XRsHRY?si=kAeNiNPhLyA2TjN1&t=402,6. Aim and shoot at targets in environment (hand tracking),3D,Environment,Extrapersonal,Avatar,Ray - Invisible,Aiming - Shooting,Hand Tracking - Release gesture,System control
First Hand,https://youtu.be/P0pv_XRsHRY?si=jPjhmrSm51WLZIGC&t=477,7. Touch on-hand 2D UI,2D,Hand,On-Body,UI Element,Virtual hand,Intersecting,Automatic,System control
The Curious Tale of the Stolen Pets,https://youtu.be/n-aM5rp36vY?si=Of4r5vHpkHpvOzx7&t=157,1. 2D UI with touch,2D,Environment,Peripersonal,UI Element,Virtual hand,Intersecting,Automatic,System control
The Curious Tale of the Stolen Pets,https://youtu.be/n-aM5rp36vY?si=rWmBGKZxGB_82lFU&t=159,2. 2D UI with touch and dwell,2D,Environment,Peripersonal,UI Element,Virtual hand,Intersecting,Dwell,System control
The Curious Tale of the Stolen Pets,https://youtu.be/rqZR06j7_eY?si=B3-Mz3N6dIge2PUe&t=255,3. Intersect a 3d object and click to select,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Click,System control
The Curious Tale of the Stolen Pets,https://youtu.be/rqZR06j7_eY?si=gsb80HCVcKP-BHQ-&t=279,4. Directly grab a 3d object,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
The Curious Tale of the Stolen Pets,https://youtu.be/n-aM5rp36vY?si=J1DfsPqf6mL-mWzJ&t=222,5. Intersect hand with 3d object and grab to acquire (hand tracking),3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Hand Tracking - Hold gesture,Acquisition
Waltz of the Wizard,https://youtu.be/pUvod-6VHbw?si=9XLkyq5lGowFO_um&t=102,1. Directly grab 3d objects,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Waltz of the Wizard,https://youtu.be/pUvod-6VHbw?si=eS4IdmqgPjyytZ4A&t=489,3. Throw 3d objects into cauldron,3D,Environment,Extrapersonal,3D Object,Handheld object,Aiming - Throwing,Analog - Release,System control
Waltz of the Wizard,https://youtu.be/pUvod-6VHbw?si=lMhMKuLSh-vCK2nt&t=181,4. Touch 3d objects to select,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Automatic,System control
Waltz of the Wizard,https://youtu.be/pUvod-6VHbw?si=pYO8-hyAIa5RmDZ4&t=237,5. Touch and dwell in an area to proceed wtih the game sequence,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Dwell,System control
Waltz of the Wizard,https://youtu.be/pUvod-6VHbw?si=uIbMXV4_Y-UYOmC_&t=364,6. Aim and shoot at avatars and objects,3D,Environment,Extrapersonal,Avatar,Ray - Invisible,Aiming - Shooting,Analog - Click,System control
Waltz of the Wizard,https://youtu.be/Hi0N0fnJbrA?si=n4n5IMx4jvZoHbQg&t=133,7. 2D UI with touch and dwell,2D,Environment,Peripersonal,UI Element,Virtual hand,Intersecting,Dwell,System control
Waltz of the Wizard,https://youtu.be/Hi0N0fnJbrA?si=5G0rIkC3BgofLHgp&t=181,8. Directly grab 3d objects (hand tracking),3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Hand Tracking - Hold gesture,Acquisition
Waltz of the Wizard,https://youtu.be/Hi0N0fnJbrA?si=sdsdJUS1W1HgxMzp&t=362,9. Insert or throw 3d objects (hand tracking),3D,Environment,Peripersonal,Storage unit,Handheld object,Intersecting,Hand Tracking - Release gesture,System control
Waltz of the Wizard,https://youtu.be/Hi0N0fnJbrA?si=7gUqKaFM_haT0-lq&t=488,10. Release a hat over head to wear it,3D,Head,On-Body,Storage unit,Handheld object,Intersecting,Hand Tracking - Release gesture,System control
Blade & Sorcery,https://youtu.be/-Fw4dPwZu9g?si=YDc05wm59rn4aLT0&t=55,1. Grasp weapons within reach and at mid distances. Nearest weapon is highlighed.,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Survival Nation,https://youtu.be/lHiwIir_0gs?si=krGcz6cPEKVUY_El&t=182,3. Point or directly grasp an item and hold trigger to pick it up,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
BONELAB,https://youtu.be/uxkiysG47m0?si=mBSArJYm9yVwtNqB&t=392,3. Grasp objects directly from the VE,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Propagation: Paradise Hotel,https://youtu.be/ltQTSGvrRxU?t=122,2. Grabbing regular objects in environment,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Green Hell VR,https://youtu.be/iAZi2kNJ-LY?si=huLQNC-L7iXipckx&t=190,"1. Grabbing closeby objects (sticks, bananas)",3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Into the Radius,https://youtu.be/Ea8MLhFnDWw?t=150,1. Direct grab from environment,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Medal of Honor: Above and Beyond,https://youtu.be/0599WTt8Pm4?t=3609,1. Grabbing and picking up objects in the enviroment,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
The Walking Dead: Saints & Sinners - Chapter 2: Retribution,https://youtu.be/vsEw_i9_KLI?t=1760,1. Picking up items within reach,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
The Walking Dead: Saints & Sinners - Chapter 2: Retribution,https://youtu.be/vsEw_i9_KLI?t=2866,5. Selecting tabs and text in hand-held map,2D,Hand,On-Body,UI Element,Virtual hand,Intersecting,Analog - Click,System control
The Walking Dead: Saints & Sinners,https://youtu.be/r8hbTzWcE_w?t=9344 ,1. Grasping some objects from the VE at a mid range distance,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
The Walking Dead: Saints & Sinners,https://youtu.be/r8hbTzWcE_w?si=wWrq55lcQImWoBK6&t=148,5. Selecting from a on-hand journal book UI,2D,Hand,On-Body,UI Element,Virtual hand,Intersecting,Analog - Click,System control
NFL PRO ERA,https://youtu.be/Ng1zkUIgM3I?si=Wezrqlk2fw1uHHO4&t=6,1. Direct grab of VE objects,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Premium Bowling,https://youtu.be/_PUP2ZLm3Qw?t=166,2. Picking up bowling ball by pointing or direct grab,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Resident Evil 4,https://youtu.be/Rqo-oZ4kB2w?si=j5ozKHUjkbrdX_70&t=592,6. Direct grab of an item on a desk,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
VRChat,https://youtu.be/rlOo5gD_KWU?si=zbRDaVL1ixRLF9qz&t=261,8. Hybrid grab with finger pinch (hand tracking),3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Hand Tracking - Hold gesture,Acquisition
No Man's Sky,https://youtu.be/M0Y_Qwtb7q8?si=mLFcBiVXm6eIXuDg&t=1394,2. Point on hand-based UI,2D,Hand,On-Body,UI Element,Virtual hand,Intersecting,Analog - Click,System control
Hitman 3,https://www.youtube.com/live/1f6HhkhvxD8?si=P0oRik2uxdcY-LXN&t=321,1. Grasping objects from the VE ,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Backrooms VR,https://youtu.be/5QOgfsfQfiU?si=muZPay26AhhZIsn9&t=361,1. Select objects/items closeby directly from the VE ,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Click,Acquisition
Backrooms VR,https://youtu.be/CCc5xfFiz8k?t=146,2. Select buttons to press (i.e. elevator buttons),3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Click,System control
Backrooms VR,https://youtu.be/CCc5xfFiz8k?t=278,4. Select a drawer to open from distance ,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Click,System control
Resident Evil Village,https://youtu.be/IXu1CnfoY3o?t=1647,1. Select objects from the VE to collect/pickup,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Devour,https://youtu.be/SOn1teeApmY?si=q0daQIBqz2cUzP5X&t=421,3. Grasping objects from the VE,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Derail Valley,https://youtu.be/fjks0MAVAQ4?t=191 ,1. Selecting objects from a distance,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Derail Valley,https://youtu.be/fjks0MAVAQ4?t=96,3. Selecting through a UI in game menu/inventory,2D,Environment,Peripersonal,UI Element,Virtual hand,Intersecting,Analog - Click,Acquisition
Swordsman VR,https://youtu.be/dYvKUVLuwA8?si=xePuDq1M05kFA3JU&t=19,4. Pick up item by pointing or touching and holding,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Sniper Elite VR,https://youtu.be/ye59zBfkVI0?t=115,1. Grabbing ammo at mid-range distance,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Click,System control
Arizona Sunshine,https://youtu.be/nHJwDGUKq3A?si=vzgHMOOMQ7LMGdhr&t=1820,2. Intersect/Point with and item and click to add it to inventory,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Click,System control
Arizona Sunshine,https://youtu.be/nHJwDGUKq3A?si=ILzpiPJoX8akFeZA&t=1825,3. Intersect/Point with an item and click to acquire,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Click,Acquisition
Battle Talent,https://youtu.be/h97RE_CivJs?t=414 ,3. Select items from the VE at a closeby distance without direct touch with the item ,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Drop Dead: Dual Strike Edition,https://youtu.be/7Eg44oVjOwA?t=220 ,3. Selecting far objects in the VE,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Cooking Simulator VR,https://youtu.be/N4Rj-ka9RRk?t=101 ,1. Grasp far objects from the VE ,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Espire 1: VR Operative,https://youtu.be/u6BJT_BlUUY?t=262,3. Grasp slightly distant items,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Population: ONE,https://youtu.be/A3ySZ8powiw?t=59,2. Select floating objects to grab,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Click,Acquisition
BONEWORKS,https://youtu.be/Kij1QXtWZvE?si=Dze5MmFzyxm44gc3&t=134,1. Point and click to select objects at a distance,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Zenith: The Last City,https://youtu.be/1m7SbxNkHj0?si=PqQ-0tw3RNl-U4a5&t=1063,6. Select close and distant object,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
FOREWARNED,https://youtu.be/fqAwCS0LV8A?t=485,5. Grab an object on the ground,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
"Hot Dogs, Horseshoes & Hand Grenades",https://youtu.be/FVz7TfYXcWA?si=Rv2pFbinsT_RfS7s&t=495,2. Direct grasp of objects from the VE,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Hubris,https://youtu.be/GhgWskv5-ac?t=501 ,1. Select objects from the VE at a distance ,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Red Matter,https://youtu.be/hl-ZHvilaDI?si=affrnCz5yn7N2zIi&t=468,2. Grab an object both close and far,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Red Matter 2,https://www.youtube.com/watch?v=VrffXY2JjLE&t=293s,2. Grab an object both close and far,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
After The Fall,https://youtu.be/1_uI1czldbc?t=248 ,4. Grasp objects directly from the VE,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Machine Learning: Episode I,https://youtu.be/gd1rACrVh5o?si=VEJPSMTHYANMa51J&t=437,3. Pick up objects from a rack using grasp,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Budget Cuts Ultimate,https://youtu.be/s89iK-E6aCc?si=Lny1eSihLkjlSOPA&t=1415,1. Ray and hand item grasp,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
